,Text,Ground truth,Prediction,Probability
0,"strategies for recruiting african american residents of public housing developments into a randomized controlled trial ethnicity & disease Objectives Two community-based strategies used to implement a clinical trial within public housing developments are discussed: 1) hiring and training community outreach residents (CORE) team members to recruit and retain primarily African-American participants; and 2) conducting health fairs to recruit participants into a trial examining the effects of nicotine gum and motivational interviewing on smoking cessation rates. Design A cluster randomized, community-based clinical trial. Setting This trial was conducted in housing developments within a metropolitan area in the Midwest. Participants Over a period of 20 months, the research team recruited 813 residents, 80% of whom were African-American, to attend health fairs. Of this number, 273 (33%) smokers were identified, and 173 were ultimately enrolled into the study. Results Attendance at health fairs of public housing development residents ranged from 8%-66% across the housing developments, with an average of 21%. A brief survey was conducted at the health fair to assess smoking status, fruit/vegetable consumption, and physical activity. Conclusions A number of possible explanations for the relatively high participation rates among a community-based trial include engaging the community in the research process, offering free health screening services, building recruitment incentives for the CORE, and tailoring health education/promotion materials according to the demographic make-up of the developments. Details regarding the development of recruitment strategies that may boost recruitment rates in community-based clinical trials with predominantly ethnic minorities are provided.","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.5573170185089111, 0.9908767342567444, 0.05180446431040764, 0.01953577809035778, 0.024707166478037834, 0.10726730525493622, 0.6969892978668213, 0.02458815649151802, 0.006988629698753357]"
1,nan,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5108314752578735, 0.29376253485679626, 0.149093896150589, 0.5181043148040771, 0.06084851175546646, 0.23150017857551575, 0.4665403366088867, 0.05167672410607338, 0.39679408073425293]"
2,"recruitment of african american adults as research participants for a language in aging study example of a principled creative and culture based approach journal of allied health Recruitment of African Americans as research participants continues as a major challenge for researchers studying health and human behavior. Numerous reasons for low participation by African Americans have been cited, most of which evolve around four primary factors: social injustice, education, economics, and cultural differences. To ensure adequate representation of the diversity within the U.S. population in research, the federal government mandates the inclusion of individuals from underrepresented groups as study participants. For African Americans, this number is approximately 12%. Controversy exists, however, as to whether published research studies reflect adequate representation of African Americans as study participants. This article reports a successful approach to the recruitment and retention of 80 African American adults who participated in a study investigating language comprehension in aging. J Allied Health. 2002; 31:241-246. LOW PARTICIPATION IN research studies by African Americans and other culturally and linguistically diverse groups (including Asian Americans, Hispanic Americans, and Native Americans) continues to be problematic for researchers. In the communication sciences and disorders literature, for example, researchers report that racial-ethnic minorities are largely underrepresented in research population samples and data sources.1-3 This underrepresentation has important implications for clinical management of individuals from these groups. In a review of the literature, Ness et al.4 concluded that current literature does not reflect fully the differential recruitment rates among African Americans and other underrepresented populations compared with whites and suggested that reporting of this information needs to be vigorously done. Researchers frequently verbalize the continuing and increasing difficulty of recruiting African American study participants. Ashing-Giwa 5 cited two important biomedical and behavioral reasons why African Americans must be represented in scientific research. First, greater mortality and morbidity in this population necessitate that research be done using greater numbers of African Americans. Second, research findings from other populations (e.g., whites) may not be appropriate and applicable to African Americans-- one can know only if these individuals are included as study participants. Stroke research showing occlusive lesion distribution differences between African Americans and whites (e.g., intracranial versus extracranial),6 has important implications for treatment in these populations. In an effort to address these issues, the National Institutes of Health, the federal government s primary research funding agency, mandates the inclusion of underrepresented groups as research participants.7 Funding is linked to adequate representation of these groups in research. Appropriate and socially responsible inclusion of African Americans as research participants would inform health care management of these individuals. The ultimate payoff is a substantial reduction in the overall financial burden to the U.S. health care system. This article addresses this urgent need by 1) considering the range of ways researchers have recommended recruiting African Americans and 2) elaborating, in depth, on a particularly successful set of recruitment strategies undertaken in one study by the author. Brief Historical Perspective Much of the resistance by African Americans to participate in research has to do with a legacy of injustices, such as the Tuskegee syphilis study,8 one of the most egregious and publicized examples. The outcome of this study provided the impetus for the development and implementation of current ethical practices in subject recruitment and treatment in research. From 1932 to 1972, the U.S. Public Health Service examined the course of syphilis in African American men in Macon County, Alabama. Enlisting the support of the prestigious Tuskegee Institute, 399 poor African American sharecroppers with syphilis were denied available treatment, although they were told that they would receive weekly medication treatments for this deadly disease. …","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.031549666076898575, 0.9617178440093994, 0.02488342858850956, 0.06450051069259644, 0.04570012539625168, 0.009237689897418022, 0.03539782762527466, 0.03541690483689308, 0.03553176298737526]"
3,"a novel food pantry program food security self sufficiency and diet quality outcomes american journal of preventive medicine Background The number of food pantries in the U.S. has grown dramatically over 3 decades, yet food insecurity remains a persistent public health problem. Purpose The goal of the study was to examine the impact of a food pantry intervention called Freshplace, designed to promote food security. Design Randomized parallel-group study with equal randomization. Setting/participants Data were collected from June 2010 to June 2012; a total of 228 adults were recruited over 1 year from traditional food pantries and randomized to the Freshplace intervention (n=113) or control group (n=115), with quarterly follow-ups for 12 months. Intervention The Freshplace intervention included a client-choice pantry, monthly meetings with a project manager to receive motivational interviewing, and targeted referrals to community services. Control group participants went to traditional food pantries where they received bags of food. Main outcome measures Data analyses were conducted from July 2012 to January 2013. Outcomes were food security, self-sufficiency, and fruit and vegetable consumption. Multivariate regression models were used to predict the three outcomes, controlling for gender, age, household size, income, and presence of children in the household. Results At baseline, half of the sample experienced very low food security. Over 1 year, Freshplace members were less than half as likely to experience very low food security, increased self-sufficiency by 4.1 points, and increased fruits and vegetables by one serving per day compared to the control group, all outcomes p Conclusions Freshplace may serve as a model for other food pantries to promote food security rather than short-term assistance by addressing the underlying causes of poverty.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.8040239810943604, 0.8339879512786865, 0.020684590563178062, 0.05999921262264252, 0.009733953513205051, 0.27407529950141907, 0.9475809335708618, 0.006911368574947119, 0.33661919832229614]"
4,"pathways to early cancer detection for vietnamese women suc khoe la vang health is gold health education & behavior To promote breast and cervical screening among Vietnamese women, a neighborhood-based intervention was developed that included small-group education, distribution of Vietnamese-language educational materials, and health fairs. The rationale for these modes of intervention is described. A pretest/posttest controlled trial is used to evaluate the intervention. San Francisco, California, is the experimental community; Sacramento, California, is the comparison community. The study hypothesizes that postintervention measurements of screening rates will reflect significantly greater increases among women in the experimental community than in the comparison community. This article reports results from the 1992 baseline household survey of 306 Vietnamese women in San Francisco and of 339 Vietnamese women in Sacramento. There were no significant differences in screening rates between the two communities. Only 50-54% of women had received routine checkups; 44-55%, mammograms; 40-45%, clinical breast examinations; 4...","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.06128743290901184, 0.858568012714386, 0.0054293530993163586, 0.022588342428207397, 0.01232992671430111, 0.013350142166018486, 0.7445377707481384, 0.009214510209858418, 0.22875577211380005]"
5,"racial disparities in participation in biomedical research journal of the national medical association To determine whether minority patients were less likely to participate in biomedical research, perceive positive benefits from such participation, or to recommend research participation to other patients, an observational study was conducted. Sociodemographic and survey data were collected from 5436 users of Department of Veterans Affairs (VA) Ambulatory Care, which included questions about veterans research participation and related attitudes. Bivariate and multivariate analyses were performed to determine if there were racial differences in the outcomes of interest, controlling for relevant sociodemographic factors. Bivariate and multivariate analyses indicated that there were no racial differences in self-reported research participation, but minority veterans were more likely to perceive a positive effect of research and less likely to recommend research to other veterans. However, subgroup analyses indicated that, of those veterans having negative attitudes about research, minority and less educated veterans were disproportionately represented. In the VA system, racial differences in research participation may dissipate because many sociodemographic factors are controlled. Although we did not observe consistent racial differences in research participation or attitudes, the fact that minority veterans were disproportionately represented among the group with the most negative attitudes about research suggests that further research is necessary to fully understand the racial dynamics of research participation in the VA.","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.00867939367890358, 0.9828712940216064, 0.023725612089037895, 0.06498992443084717, 0.022040024399757385, 0.030230281874537468, 0.16092297434806824, 0.01721232570707798, 0.026726022362709045]"
6,nan,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5108314752578735, 0.29376253485679626, 0.149093896150589, 0.5181043148040771, 0.06084851175546646, 0.23150017857551575, 0.4665403366088867, 0.05167672410607338, 0.39679408073425293]"
7,"sometimes they don t stop they just slow down acm inroads A research project conducted by the Middlesex University Transport Management Research Centre on children s perceptions of the road environment, its attendant risks and the effect on their road crossing behaviour is described. One primary and three secondary schools in the London Boroughs of Barnet, Enfield and Haringey participated in the project. Many children were frightened or frustrated by their lack of control over the behaviour of drivers at designated crossing points. Crossing with a group of others promoted a sense of confidence. There was confusion over the functions of some engineering features, e.g. raised platforms used to slow traffic down and also to act as a pedestrian crossing. Children tended to cross the road at the first available location even when the road was initially not clear. They therefore tended to cross in two different places when traversing the route in opposite directions. Children s choice of crossing point was sometimes influenced by their social behaviour.","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.9867532849311829, 0.11112681776285172, 0.028768301010131836, 0.8178533315658569, 0.020560448989272118, 0.02831597812473774, 0.8886337280273438, 0.017728516831994057, 0.34842729568481445]"
8,"the effectiveness of a community academic health center partnership in decreasing the level of blood pressure in an urban african american population ethnicity & disease This study investigated the effectiveness of a community-academic health center partnership, utilizing nurse-supervised indigenous community health workers, in decreasing the blood pressure in an urban African-American population. A four-year randomized clinical trial was conducted in the Sandtown-Winchester community, which has an excess prevalence of high blood pressure, in order to test the effectiveness of 2 different levels of intervention intensity on increasing the control of high blood pressure. Community health workers were trained and certified in blood pressure management, monitoring, education and counseling, social support mobilization, and community outreach and follow up. The primary results were a significant decrease in mean systolic and diastolic pressures after both levels of intervention, and a significant increase in the percentage of individuals with controlled high blood pressure. Surprisingly, no differences in results were observed between the 2 levels of intervention intensity. This study supports the use of community-based partnership efforts, and the utilization of indigenous health workers, to enhance the control of high blood pressure in a high-risk, African-American urban population.","[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[0.3704916536808014, 0.9913222789764404, 0.13536441326141357, 0.004817281384021044, 0.026577968150377274, 0.5482960343360901, 0.7963312864303589, 0.01745382323861122, 0.11050476133823395]"
9,nan,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5108314752578735, 0.29376253485679626, 0.149093896150589, 0.5181043148040771, 0.06084851175546646, 0.23150017857551575, 0.4665403366088867, 0.05167672410607338, 0.39679408073425293]"
