,Text,Ground truth,Prediction,Probability
0,"post natal depression psychology science and the transition to motherhood Post-Natal Depression challenges the expectation that it is normal to be a happy mother . It provides a radical critique of the traditional medical and social science explanations of post natal depression by supplying a systematic feminist psychological analysis of women s experiences following childbirth. Paula Nicolson argues that, far from it being an abnormal, undesirable, pathological condition, it is a normal, healthy response to a series of losses. Post Natal Depression makes an important contribution to the psychology of women and feminist research and will be of interst to psychologists, social scientists, nurses and doctors.","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3659530282020569, 0.4294835031032562, 0.3492583930492401, 0.5822820663452148, 0.3640054762363434, 0.2975761294364929, 0.4624696671962738, 0.36591312289237976, 0.37221068143844604]"
1,"the long term prevention of tobacco use among junior high school students classroom and telephone interventions OBJECTIVES. The purpose of this study was to implement and evaluate the effectiveness of a long-term tobacco use prevention program for junior high school students that used college undergraduate change agents and telephone boosters. METHODS. A psychosocial intervention combining refusal skills training, contingency management, and other tobacco use prevention methodologies such as telephone and mail boosters was implemented in 11 junior high schools in San Diego County, California. Eleven other junior high schools served as controls. Of the 2668 participants, 57% were White/non-Hispanic, 24% were Hispanic, and 19% were of other racial/ethnic groups. College undergraduates served as change agents for both the classroom and booster interventions, the latter of which was delivered in the third (ninth-grade) year of the program. RESULTS. At the end of the third year, the prevalence of tobacco use within the past month was 14.2% among the intervention students and 22.5% among the controls, yielding an odds ra...","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3531129062175751, 0.42497822642326355, 0.34547749161720276, 0.5580797791481018, 0.37398701906204224, 0.29975426197052, 0.46586063504219055, 0.3510725200176239, 0.3767523467540741]"
2,nan,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3657202124595642, 0.4667198657989502, 0.37803545594215393, 0.4929513931274414, 0.4427093267440796, 0.42820173501968384, 0.46578505635261536, 0.336398184299469, 0.44040191173553467]"
3,"extruded rice fortified with micronized ground ferric pyrophosphate reduces iron deficiency in indian schoolchildren a double blind randomized controlled trial Background: Iron fortification of rice could be an effective strategy for reducing iron deficiency anemia in South Asia. Objective: We aimed to determine whether extruded rice grains fortified with micronized ground ferric pyrophosphate (MGFP) would increase body iron stores in children. Design: In a double-blind, 7-mo, school-based feeding trial in Bangalore, India, iron-depleted, 6-13-y-old children (n = 184) were randomly assigned to receive either a rice-based lunch meal fortified with 20 mg Fe as MGFP or an identical but unfortified control meal. The meals were consumed under direct supervision, and daily leftovers were weighed. All children were dewormed at baseline and at 3.5 mo. Iron status and hemoglobin were measured at baseline, 3.5 mo, and 7 mo. Results: At baseline, the prevalences of iron deficiency and iron deficiency anemia in the total sample were 78% and 29%, respectively. After 7 mo of feeding, there was a significant increase in body iron stores in both study groups (P < 0.001), with a greater increase in the iron group than in the control group (P < 0.05). There was a significant time X treatment interaction for iron deficiency, which fell from 78% to 25% in the dewormed iron group and from 79% to 49% in the dewormed control group. Iron deficiency anemia decreased from 30% to 15% (NS) in the iron group but remained virtually unchanged in the control group (28% and 27%). In sensory tests, the MGFP-fortified rice (fortified at 3 and 5 mg Fe/100 g) was indistinguishable from natural rice, in both cooked and uncooked form. Conclusions: Extruded rice fortified with MGFP has excellent sensory characteristics. Fed in a school lunch meal, it increases iron stores and reduces the prevalence of iron deficiency in Indian children.","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4045550227165222, 0.4394068121910095, 0.3713148236274719, 0.5604588985443115, 0.40338853001594543, 0.4023022949695587, 0.4090934991836548, 0.3300056755542755, 0.43547797203063965]"
4,"fathers perspectives on breastfeeding ideas for intervention This article presents the findings of a small-scale qualitative study with fathers which was part of a larger social marketing project focusing on increasing rates of exclusive breastfeeding in Brighton and Hove. In-depth semi-structured interviews were used to explore fathers experiences during the pregnancy, birth and up to the first year. Findings revealed a number of potential areas which may be of use to midwives, health visitors, and other health professionals to increase the initiation and continuance of breastfeeding. In addressing these possibilities, we also discuss a number of practical ways forward and suggest areas for future research.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3581319749355316, 0.4256344437599182, 0.3394317626953125, 0.49705904722213745, 0.39066988229751587, 0.3511580526828766, 0.45089802145957947, 0.3607090711593628, 0.39042866230010986]"
5,"glycaemic variability in paediatric patients with type 1 diabetes on continuous subcutaneous insulin infusion csii or multiple daily injections mdi a cross sectional cohort study Summary Objective This cross-sectional observational cohort study was designed to investigate i) whether glycaemic variability in paediatric patients with type 1 diabetes is lower in those using an insulin pump (CSII) compared with those using multiple daily insulin injections (MDI) and ii) whether urinary F2-isoprostanes and/or urinary prostaglandin F2 excretion as surrogate marker of oxidative stress and cyclooxygenase activity are associated with glycaemic variability. Methods 48 paediatric patients with type 1 diabetes (22 using an insulin pump) underwent an ambulatory 3-day continuous glucose monitoring. All patients continued with normal daily activities and collected urine for two consecutive 24 h periods. The glucose pentagon was used to calculate the glycaemic risk parameter. Results Insulin requirements, HDL-cholesterol, the mean of glycaemic excursions (P < 001) and the standard deviation of mean glucose concentration (P < 005) were significantly lower in patients with CSII compared with those using MDI. By contrast, averaged HbA1c during the last twelve months as well as at the time of sensor insertion did not differ significantly between both groups. Summarizing characteristic parameter of acute and long-term metabolic control into the glucose pentagon revealed a significantly lower glycaemic risk parameter in CSI patients compared with both, healthy subjects and patients using MDI (P < 005). Conclusions Paediatric patients with type 1 diabetes using an insulin pump presented with lower glycaemic variability and a concomitantly lower glycaemic risk parameter compared with those using MDII. Whether these findings translate into a lower risk of diabetes associated cardiovascular complications remains to be elucidated.","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3845082223415375, 0.4218006134033203, 0.3440553843975067, 0.5686688423156738, 0.3497975468635559, 0.37966981530189514, 0.39722511172294617, 0.3192550539970398, 0.4325013756752014]"
6,"effectiveness of community directed diabetes prevention and control in a rural aboriginal population in british columbia canada This report presents the process and summative evaluation results from a community-based diabetes prevention and control project implemented in response to the increasing prevalence and impact of non-insulin-dependent diabetes mellitus (NIDDM) in the Canadian Aboriginal population. The 24-month project targeted the registered Indian population in British Columbia s rural Okanagan region. A participatory approach was used to plan strategies by which diabetes could be addressed in ways acceptable and meaningful to the intervention community. The strategies emphasised a combination of changing behaviours and changing environments. The project was quasi-experimental. A single intervention community was matched to two comparison communities. Workers in the intervention community conducted interviews of individuals with or at risk for diabetes during a seven-month pre-intervention phase (n = 59). Qualitative analyses were conducted to yield strategies for intervention. Implementation began in the eighth month of the project. Trend measurements of diabetes risk factors were obtained for high-risk cohorts (persons with or at familial risk for NIDDM) (n = 105). Cohorts were tracked over a 16-month intervention phase, with measurements at baseline, the midpoint and completion of the study. Cross-sectional population surveys of diabetes risk factors were conducted at baseline and the end of the intervention phase (n = 295). Surveys of community systems were conducted three times. The project yielded few changes in quantifiable outcomes. Activation of the intervention community was insufficient to enable individual and collective change through dissemination of quality interventions for diabetes prevention and control. Theory and previous research were not sufficiently integrated with information from pre-intervention interviews. Interacting with these limitations were the short planning and intervention phases, just 8 and 16 months, respectively. The level of penetration of the interventions mounted was too limited to be effective. Attention to process is warranted and to the feasibility of achieving effects within 24 months.","[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.35902753472328186, 0.42938047647476196, 0.33422836661338806, 0.5521848797798157, 0.3646910488605499, 0.31788375973701477, 0.4275050163269043, 0.3483543395996094, 0.3898971378803253]"
7,"effects on adolescent atod behaviors and attitudes of a 5 year community partnership The Gloucester Prevention Network is a comprehensive community A TOD prevention partnership with multiple coordinated community prevention activities, including several peer education programs in the schools. This coordinated, comprehensive program had a positive effect on all substance abuse outcomes involving older high school students, with the exception of marijuana use.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.36534908413887024, 0.43843162059783936, 0.3336534798145294, 0.5522632598876953, 0.36030149459838867, 0.3180290758609772, 0.4318423271179199, 0.3484804332256317, 0.3876230716705322]"
8,"popular opinion leaders and hiv prevention peer education resolving discrepant findings and implications for the development of effective community programmes A series of community-level trials undertaken in the United States over the past 10 years established the effectiveness of an HIV prevention intervention that systematically identifies, recruits, trains, and engages the popular opinion leaders (POLs) of a population to serve as behaviour change endorsers. Recently, several investigators reported unsuccessful attempts to implement peer education programmes for men who have sex with men in the United Kingdom and raised questions about whether peer-based programmes are effective or feasible. However, POL is a theory-based and very specialized intervention, and the UK peer education programmes did not incorporate many of POL s core or essential elements. Consequently, they were not evaluations of POL. In this article, core elements of the popular opinion leader model are presented; interpretations are made of possible reasons for the discrepant findings of the UK peer education and US POL interventions; and practical issues for applied programme development a...","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3663860559463501, 0.431921124458313, 0.3312763273715973, 0.547938346862793, 0.35829275846481323, 0.3249717354774475, 0.43321335315704346, 0.34508568048477173, 0.3834325969219208]"
9,"the costs and benefits of red tape anti bureaucratic structure and gender inequity in a science research organization This paper explicates a central conflict that can affect science research organizations, the conflict between the anti-bureaucratic stance believed to advance science and concerns for gender equity rooted in the universalist ethos of science. We present a case study of a science research organization, using employment and publication records, a survey of 308 employees, and qualitative interviews with 60 employees. We show how anti-bureaucratic organizational structures perpetuate gender inequities for both female scientists and non-scientists.","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.35049086809158325, 0.4361206591129303, 0.32855501770973206, 0.5426822900772095, 0.3657633066177368, 0.3361765146255493, 0.44559454917907715, 0.3354041874408722, 0.38339701294898987]"
