,Text,Ground truth,Prediction,Probability
0,"strategies for recruiting african american residents of public housing developments into a randomized controlled trial Objectives Two community-based strategies used to implement a clinical trial within public housing developments are discussed: 1) hiring and training community outreach residents (CORE) team members to recruit and retain primarily African-American participants; and 2) conducting health fairs to recruit participants into a trial examining the effects of nicotine gum and motivational interviewing on smoking cessation rates. Design A cluster randomized, community-based clinical trial. Setting This trial was conducted in housing developments within a metropolitan area in the Midwest. Participants Over a period of 20 months, the research team recruited 813 residents, 80% of whom were African-American, to attend health fairs. Of this number, 273 (33%) smokers were identified, and 173 were ultimately enrolled into the study. Results Attendance at health fairs of public housing development residents ranged from 8%-66% across the housing developments, with an average of 21%. A brief survey was conducted at the health fair to assess smoking status, fruit/vegetable consumption, and physical activity. Conclusions A number of possible explanations for the relatively high participation rates among a community-based trial include engaging the community in the research process, offering free health screening services, building recruitment incentives for the CORE, and tailoring health education/promotion materials according to the demographic make-up of the developments. Details regarding the development of recruitment strategies that may boost recruitment rates in community-based clinical trials with predominantly ethnic minorities are provided.","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 0, 0, 0, 0, 1, 0, 0]","[0.9999966621398926, 0.9999991655349731, 0.00034118149778805673, 4.565081781038316e-06, 3.7000157249167387e-07, 3.046621259272797e-06, 0.9999982118606567, 5.629105999105377e-07, 5.375081286729255e-07]"
1,nan,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[1, 0, 0, 1, 0, 0, 0, 0, 0]","[0.5206380486488342, 0.14767660200595856, 0.029300503432750702, 0.6468120813369751, 0.009904056787490845, 0.06167744845151901, 0.39558669924736023, 0.0009167782845906913, 0.23250554502010345]"
2,"recruitment of african american adults as research participants for a language in aging study example of a principled creative and culture based approach Recruitment of African Americans as research participants continues as a major challenge for researchers studying health and human behavior. Numerous reasons for low participation by African Americans have been cited, most of which evolve around four primary factors: social injustice, education, economics, and cultural differences. To ensure adequate representation of the diversity within the U.S. population in research, the federal government mandates the inclusion of individuals from underrepresented groups as study participants. For African Americans, this number is approximately 12%. Controversy exists, however, as to whether published research studies reflect adequate representation of African Americans as study participants. This article reports a successful approach to the recruitment and retention of 80 African American adults who participated in a study investigating language comprehension in aging. J Allied Health. 2002; 31:241-246. LOW PARTICIPATION IN research studies by African Americans and other culturally and linguistically diverse groups (including Asian Americans, Hispanic Americans, and Native Americans) continues to be problematic for researchers. In the communication sciences and disorders literature, for example, researchers report that racial-ethnic minorities are largely underrepresented in research population samples and data sources.1-3 This underrepresentation has important implications for clinical management of individuals from these groups. In a review of the literature, Ness et al.4 concluded that current literature does not reflect fully the differential recruitment rates among African Americans and other underrepresented populations compared with whites and suggested that reporting of this information needs to be vigorously done. Researchers frequently verbalize the continuing and increasing difficulty of recruiting African American study participants. Ashing-Giwa 5 cited two important biomedical and behavioral reasons why African Americans must be represented in scientific research. First, greater mortality and morbidity in this population necessitate that research be done using greater numbers of African Americans. Second, research findings from other populations (e.g., whites) may not be appropriate and applicable to African Americans-- one can know only if these individuals are included as study participants. Stroke research showing occlusive lesion distribution differences between African Americans and whites (e.g., intracranial versus extracranial),6 has important implications for treatment in these populations. In an effort to address these issues, the National Institutes of Health, the federal government s primary research funding agency, mandates the inclusion of underrepresented groups as research participants.7 Funding is linked to adequate representation of these groups in research. Appropriate and socially responsible inclusion of African Americans as research participants would inform health care management of these individuals. The ultimate payoff is a substantial reduction in the overall financial burden to the U.S. health care system. This article addresses this urgent need by 1) considering the range of ways researchers have recommended recruiting African Americans and 2) elaborating, in depth, on a particularly successful set of recruitment strategies undertaken in one study by the author. Brief Historical Perspective Much of the resistance by African Americans to participate in research has to do with a legacy of injustices, such as the Tuskegee syphilis study,8 one of the most egregious and publicized examples. The outcome of this study provided the impetus for the development and implementation of current ethical practices in subject recruitment and treatment in research. From 1932 to 1972, the U.S. Public Health Service examined the course of syphilis in African American men in Macon County, Alabama. Enlisting the support of the prestigious Tuskegee Institute, 399 poor African American sharecroppers with syphilis were denied available treatment, although they were told that they would receive weekly medication treatments for this deadly disease. …","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[4.723774793546909e-07, 0.9999988079071045, 8.191188499040436e-06, 6.276288786466466e-06, 3.525462375364441e-07, 2.0711902379844105e-06, 9.785150041352608e-07, 4.607234131981386e-07, 1.9359599718882237e-06]"
3,"a novel food pantry program food security self sufficiency and diet quality outcomes Background The number of food pantries in the U.S. has grown dramatically over 3 decades, yet food insecurity remains a persistent public health problem. Purpose The goal of the study was to examine the impact of a food pantry intervention called Freshplace, designed to promote food security. Design Randomized parallel-group study with equal randomization. Setting/participants Data were collected from June 2010 to June 2012; a total of 228 adults were recruited over 1 year from traditional food pantries and randomized to the Freshplace intervention (n=113) or control group (n=115), with quarterly follow-ups for 12 months. Intervention The Freshplace intervention included a client-choice pantry, monthly meetings with a project manager to receive motivational interviewing, and targeted referrals to community services. Control group participants went to traditional food pantries where they received bags of food. Main outcome measures Data analyses were conducted from July 2012 to January 2013. Outcomes were food security, self-sufficiency, and fruit and vegetable consumption. Multivariate regression models were used to predict the three outcomes, controlling for gender, age, household size, income, and presence of children in the household. Results At baseline, half of the sample experienced very low food security. Over 1 year, Freshplace members were less than half as likely to experience very low food security, increased self-sufficiency by 4.1 points, and increased fruits and vegetables by one serving per day compared to the control group, all outcomes p Conclusions Freshplace may serve as a model for other food pantries to promote food security rather than short-term assistance by addressing the underlying causes of poverty.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[1, 1, 0, 0, 0, 1, 1, 0, 0]","[0.9935465455055237, 0.9999920129776001, 1.203496412927052e-05, 6.093745014368324e-06, 3.6633565514421207e-07, 0.9998633861541748, 0.9999986886978149, 7.047516987768176e-07, 6.92821117809217e-07]"
4,"pathways to early cancer detection for vietnamese women suc khoe la vang health is gold To promote breast and cervical screening among Vietnamese women, a neighborhood-based intervention was developed that included small-group education, distribution of Vietnamese-language educational materials, and health fairs. The rationale for these modes of intervention is described. A pretest/posttest controlled trial is used to evaluate the intervention. San Francisco, California, is the experimental community; Sacramento, California, is the comparison community. The study hypothesizes that postintervention measurements of screening rates will reflect significantly greater increases among women in the experimental community than in the comparison community. This article reports results from the 1992 baseline household survey of 306 Vietnamese women in San Francisco and of 339 Vietnamese women in Sacramento. There were no significant differences in screening rates between the two communities. Only 50-54% of women had received routine checkups; 44-55%, mammograms; 40-45%, clinical breast examinations; 4...","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 1, 0, 0]","[0.00038277709973044693, 0.9999986886978149, 1.0882987226068508e-05, 3.888031642418355e-06, 5.260452553557116e-07, 3.181463853252353e-06, 0.999998927116394, 5.723720164496626e-07, 2.6622399218467763e-06]"
5,"racial disparities in participation in biomedical research To determine whether minority patients were less likely to participate in biomedical research, perceive positive benefits from such participation, or to recommend research participation to other patients, an observational study was conducted. Sociodemographic and survey data were collected from 5436 users of Department of Veterans Affairs (VA) Ambulatory Care, which included questions about veterans research participation and related attitudes. Bivariate and multivariate analyses were performed to determine if there were racial differences in the outcomes of interest, controlling for relevant sociodemographic factors. Bivariate and multivariate analyses indicated that there were no racial differences in self-reported research participation, but minority veterans were more likely to perceive a positive effect of research and less likely to recommend research to other veterans. However, subgroup analyses indicated that, of those veterans having negative attitudes about research, minority and less educated veterans were disproportionately represented. In the VA system, racial differences in research participation may dissipate because many sociodemographic factors are controlled. Although we did not observe consistent racial differences in research participation or attitudes, the fact that minority veterans were disproportionately represented among the group with the most negative attitudes about research suggests that further research is necessary to fully understand the racial dynamics of research participation in the VA.","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 1, 0, 0, 0, 0, 0, 0, 0]","[4.904950401396491e-07, 0.9999762773513794, 0.0003462960012257099, 7.358614675467834e-05, 3.683633451601054e-07, 1.989353222597856e-06, 8.828141631056496e-07, 1.0517383088881616e-06, 1.0050134733319283e-06]"
6,nan,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[1, 0, 0, 1, 0, 0, 0, 0, 0]","[0.5206380486488342, 0.14767660200595856, 0.029300503432750702, 0.6468120813369751, 0.009904056787490845, 0.06167744845151901, 0.39558669924736023, 0.0009167782845906913, 0.23250554502010345]"
7,"sometimes they don t stop they just slow down A research project conducted by the Middlesex University Transport Management Research Centre on children s perceptions of the road environment, its attendant risks and the effect on their road crossing behaviour is described. One primary and three secondary schools in the London Boroughs of Barnet, Enfield and Haringey participated in the project. Many children were frightened or frustrated by their lack of control over the behaviour of drivers at designated crossing points. Crossing with a group of others promoted a sense of confidence. There was confusion over the functions of some engineering features, e.g. raised platforms used to slow traffic down and also to act as a pedestrian crossing. Children tended to cross the road at the first available location even when the road was initially not clear. They therefore tended to cross in two different places when traversing the route in opposite directions. Children s choice of crossing point was sometimes influenced by their social behaviour.","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 1, 0, 1, 0, 0, 1, 0, 0]","[0.9999995231628418, 0.9579097032546997, 1.6706551832612604e-05, 0.9999269247055054, 8.739481245356728e-07, 6.465447768277954e-06, 0.9999282360076904, 1.146143290498003e-06, 2.369949243075098e-06]"
8,"the effectiveness of a community academic health center partnership in decreasing the level of blood pressure in an urban african american population This study investigated the effectiveness of a community-academic health center partnership, utilizing nurse-supervised indigenous community health workers, in decreasing the blood pressure in an urban African-American population. A four-year randomized clinical trial was conducted in the Sandtown-Winchester community, which has an excess prevalence of high blood pressure, in order to test the effectiveness of 2 different levels of intervention intensity on increasing the control of high blood pressure. Community health workers were trained and certified in blood pressure management, monitoring, education and counseling, social support mobilization, and community outreach and follow up. The primary results were a significant decrease in mean systolic and diastolic pressures after both levels of intervention, and a significant increase in the percentage of individuals with controlled high blood pressure. Surprisingly, no differences in results were observed between the 2 levels of intervention intensity. This study supports the use of community-based partnership efforts, and the utilization of indigenous health workers, to enhance the control of high blood pressure in a high-risk, African-American urban population.","[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[1, 1, 0, 0, 0, 1, 1, 0, 0]","[0.9999969005584717, 0.9999991655349731, 1.1913530215679202e-05, 5.481856078404235e-06, 4.0483664065504854e-07, 0.9259832501411438, 0.9999991655349731, 5.35456649686239e-07, 5.767033144365996e-07]"
9,"how we feel an insight into the emotional world of teenagers Foreword, Peter Wilson, Director, Young Minds. Preface, Carol Tannahill, Director of Health Promotion, Greater Glasgow Health Board. 1. Howie Feel is Conceived. 2. Field of Words. 3. Happiness and Unhappiness. 4. Self-Esteem: What makes Young People Value Themselves. 5. What Young People Do with their Feelings. 6. Dear Diary: How We Feel. 7. How We Feel About Ourselves. 8. How We Feel About School. 9. How We Feel About Our Families. 10. How We Feel About Our Peers. 11. How We Feel About Romance. 12. How We Feel About Everything Else: A Mixed Bag. 13. Taking Howie Feel on Board: What Can We Do? 14. Giving Young People a Voice, Jenny Secker, Specialist Development and Evaluation Officer, Health Education Board, Scotland. 15. Young People in Crisis, Anne Houston, Director, ChildLine Scotland. 16. Inner Voices, Distant Lives? Sally Butler, Consultant Clinical Psychologist, Yorkhill NHS Trust (Community Child Health). 17. School Days: The Best Days of Your Life? George Potter, Guidance Teacher, Cathkin High School. 18. Happy Families? Mary Ross, Director of Notre Dame Child Guidance Clinic and Adolescent Unit. 19. He Said, She Said, Susan McGinnis, Counsellor, University of Strathclyde. 20. What the Doctor Ordered: The Role of the GP, Phil Wilson, GP, Battlefield Surgery and University of Glasgow. 21. Caring For Teenagers in the 21st Century: Young Voices Matter, Graham Bryce, Consultant Child and Adolescent Psychiatrist, Possilpark Health Centre. Appendices. References. Index. List of Contributors.","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[1, 0, 0, 0, 0, 0, 0, 0, 0]","[0.8625984787940979, 3.944062700611539e-05, 2.3551650883746333e-05, 0.00025991842267103493, 4.1366115510754753e-07, 6.058871804270893e-06, 0.00043169219861738384, 1.737576531013474e-05, 1.779887497832533e-05]"
