PaperId	PaperTitle	Citations	coFoS	Authors	Abstract	PublicationDate	DocType	FamilyId	RecordId	CN	Incl	Lang	V	I	DOI	JN	PG	Y	URLs	umls	PlaceOfResidence	RaceEthnicity	Occupation	GenderSex	Religion	Education	SocioeconomicStatus	SocialCapital	Plus
2524509156	comparative analysis of the poverty and profitability status of adopters and non adopters of sustainable taungya farming in ogun state		100243477 | 45355965 | 129361004 | 189326681 | 139134214 | 2781157624 | 2780117336 | 162324750 | 50522688 | 39896193 | 118518473	2685655179 | 2605220747 | 2604247630 | 2605305835 | 2628614530	This paper investigates the comparative analysis of the poverty and profitability status of adopters and non-adopters of sustainable taungya farming in Ogun State, Nigeria. Multistage sampling procedure was employed for this study. At the first stage, primary data were obtained from a cross-sectional survey of 160 farmers drawn from a purposive selection of two Agricultural Development Programme (ADP) zones; Ijebu east and Ilaro zones. The second stage involved the proportionate selection of five blocks from the two ADP zones and at the third stage, four cells each were randomly selected per block. However, only 155 respondents who completed all the questionnaire items were actually used for data analysis. Descriptive statistics, Foster, Greer and Thorbecke Poverty Index, and Budgetary techniques were used for data analysis. Results revealed that 62.5% of the farmers adopted taungya farming as a form of agroforestry practice, while 34.3% of the farmers were non-adopters. The estimated relative poverty line was N2627.59 per week. Poverty incidence, depth and severity among the adopters were 30.1%, 6.8% and 0.4% respectively while they were 45.4%, 26.3% and 6.9% respectively for the non-adopters. The decomposition of the poverty status according to sub-groups was equally shown. The budgetary analysis showed that the net farm income of adopters which was N249,327/ha was significantly (p<0.05) different from that of the non-adopters which was N167,391/ha. The study concluded that taungya farming improved adopter’s welfare compared to non-adopters and accounted positively in reducing poverty. This study recommended that taungya farming should be encouraged to increase rural farmers’ income, and alleviate poverty. 	01/01/2015	a	0	0		1	en	39	3		russian journal of agricultural and socio economic sciences	Sep-19	2015	[{'Ty': 1, 'U': 'https://cyberleninka.ru/article/n/comparative-analysis-of-the-poverty-and-profitability-status-of-adopters-and-non-adopters-of-sustainable-taungya-farming-in-ogun-state'}, {'Ty': 1, 'U': 'https://EconPapers.repec.org/RePEc:scn:031261:16082020'}, {'Ty': 1, 'U': 'https://ideas.repec.org/a/scn/031261/16082020.html'}]		Place of residence, Place of residence, [info] sub-tropical	0	0	Gender/sex, Gender/sex	0	Education, Education	Socioeconomic status, Socioeconomic status	0	0
2136502543	malian children with moderate acute malnutrition who are treated with lipid based dietary supplements have greater weight gains and recovery rates than those treated with locally produced cereal legume products a community based cluster randomized trial	2161643046 | 2792467716 | 3009371255 | 2143800252 | 2122707249 | 2280137747 | 1972453020 | 1966186822 | 2110689212 | 1483181941 | 2153662384 | 2110499077 | 179814197 | 2097225853 | 2022574250 | 2099812591 | 2113266218 | 2157453324 | 2097119026 | 2133482197 | 2162657751 | 2332747886 | 2142197989 | 2130323062 | 2149329438 | 2147747919 | 2043630467 | 2012103711 | 1984855288 | 1629235944 | 2072675088	3019623277 | 2908647359 | 187212893 | 14522933 | 71924100 | 551997983 | 3018258876 | 2776632002 | 3020394755 | 176400912 | 140793950	2490039908 | 2493855035 | 2107814820 | 2241959677 | 2168698304 | 2123233556	BACKGROUND: Moderate acute malnutrition (MAM) defined as weight-for-length z score between -3 and -2 or midupper arm circumference between 11.5 and 12.5 cm affects approximately 33 million children aged <5 y worldwide. OBJECTIVE: The objective was to compare the effects of 4 dietary supplements for the treatment of MAM. DESIGN: Twelve community health centers in rural Mali were randomly assigned to provide to 1264 MAM children aged 6-35 mo one of 4 dietary supplements containing approximately 500 kcal/d for 12 wk: 1) ready-to-use lipid-based supplementary food (RUSF); 2) special corn-soy blend (CSB++); 3) locally processed fortified flour (Misola); or 4) locally milled flours plus oil sugar and micronutrient powder (LMF). RESULTS: In total 1178 children (93.2%) completed the study. The adjusted mean (95% CI) change in weight (kg) from baseline was greater with RUSF than with the locally processed blends and was intermediate with CSB++ [1.16 (1.08 1.24) for RUSF 1.04 (0.96 1.13) for CSB++ 0.91 (0.82 0.99) for Misola and 0.83 (0.74 0.92) for LMF; P < 0.001]. For length change RUSF and CSB++ differed significantly from LMF. Sustained recovery rates were higher with RUSF (73%) than with Misola (61%) and LMF (58%) P < 0.0001; CSB++ recovery rates (68%) did not differ from any of the other groups. CONCLUSIONS: RUSF was more effective but more costly than other dietary supplements for the treatment of MAM; CSB++ yielded intermediate results. The benefits of treatment should be considered in relation to product costs and availability. (c) 2015 American Society for Nutrition. 	01/03/2015	a	0	0		1	en	101	3	10.3945/AJCN.113.069807	the american journal of clinical nutrition	632-645	2015	[{'Ty': 1, 'U': 'http://ajcn.nutrition.org/content/101/3/632.abstract'}, {'Ty': 1, 'U': 'https://academic.oup.com/ajcn/article/101/3/632/4569420'}, {'Ty': 1, 'U': 'https://doi.org/10.3945%2Fajcn.113.069807'}, {'Ty': 1, 'U': 'https://europepmc.org/abstract/MED/25733649'}, {'Ty': 1, 'U': 'https://pubmed.ncbi.nlm.nih.gov/25733649/'}, {'Ty': 1, 'U': 'https://www.ncbi.nlm.nih.gov/pubmed/25733649'}]		Place of residence, Place of residence, [info] 12 community health centres (centres de santÃ© communautaire) and their surrounding communities in the Dioila health district which is located 170 km southeast of Bamako the capital of Mali	0	Occupation, Occupation, [info] N/A for participants due to age of household heads (no details about who exactly was the household head) most were farmers (81%) or unskilled labourers (9%)	Gender/sex, Gender/sex, [info] approximately 52% of the study participants were female children approximately 48% were male children caretakers that prepared and served the supplements were almost always the mothers of participants suggesting traditional gender norms with regards to childcare	0	Education, Education, [info] N/A for participants due to age most (57%) of household heads had no education and most (85%) of the study participants mothers also had no education however, signed consent was reportedly obtained from all of the participants caretakers product-specific counseling on the preparation and serving methods of the different dietary supplements was provided to the caretakers of participants all anthropometrists were trained and standardized at the beginning of the study and on three more occasions during the study 	Socioeconomic status, Socioeconomic status, [info] most of the participantâ€™s households were low-income in general the children originated from agricultural households with low rates of literacy (of mothers 85%) meagre possessions poor housing quality (65% used a torch light for their primary source of light) and poor sanitary infrastructure (69% used a bucket/pan as their type of toilet facility) more than a third (40%) of the households were reportedly food insecure household food security information was obtained by using the standardized Household Food Insecurity Access Scale questionnaire food security status was determined to be unrelated to the participantâ€™s growth outcomes and did not modify the growth responses to treatment reported cost of the product in US$ 	Social capital, Social capital, [info] community health centres in the Dioila Health District were partly chosen based on their history of collaboration with external projects participants were identified during 5 bimonthly community-based screening sessions indicating social health networks and connections these networks are supported by the existence of a national community-based management of acute malnutrition protocol which was based on international treatment guidelines including the WHO guidelines as a result a supplement production and delivery network was in place the study experienced logistical constraints related to availability of transportation and seasonally inaccessible roads food sharing inferred through reports of home visit observations and data collection all children identified as having severe acute malnutrition (severe acute malnutrition based on MOH criteria) with complication were immediately referred for treatment at the local district hospital fieldworkers visited the home in the event of missed scheduled clinic appointments to determine the reason for the absence and encourage continued participation 	Plus, Plus, [info] [Personal] [Time] 1264 children ages 6 to 35 months of age the restricted age range was used to limit the variability in expected growth responses and to focus on the younger children who might be more sensitive to different dietary regimens moreover in Mali the prevalence of wasting is greatest within the 6- to 35-mo age bracket children with mild acute malnutrition were included in the trial moderate acute malnutrition was defined as weight-for-length z-score between -3 and -2 or midupper arm circumference between 11.5 and 12.5 cm a second set of inclusion criteria was based on national norms that were being used at the time the study took place children with severe and chronic illnesses including anaemia malnutrition congenital abnormalities and HIV that might interfere with nutritional recovery or a history of allergy to peanuts or previous serious allergic reactions to any substance and requiring emergency medical care were excluded 
2097772973	violators of a child passenger safety law	2163000225 | 2029306076 | 2097345063 | 2032970445 | 2065726342 | 2139662110 | 2102469804 | 2585538819 | 2100273710 | 775796915 | 2103278760 | 2072645779 | 2028381242 | 1985686120 | 2108908921 | 2048556752 | 2121150877 | 2131200886 | 195279099	2778521920 | 2908647359 | 3017944768 | 187155963 | 71924100 | 151956035 | 199539241 | 190385971 | 166735990 | 56995899	243170027 | 2102248864 | 2003877782	BACKGROUND: Nonuse of child car safety seats (CSSs) remains significant; in 2000, 47% of occupant fatalities among children <5 years of age involved unrestrained children. Nonusers and part-time users of CSSs represent small proportions of the US population that have not responded to intervention efforts. Our study examined the factors contributing to nonuse or part-time use of CSSs and the effects of exposure to a class for violators of the California Child Passenger Safety (CPS) law. METHODS: Focus groups (in English and Spanish) were conducted with individuals cited for violation of the law (N = 24). A thematic analysis of notes made by an observer, supplemented by audiotapes of the sessions, was conducted. In addition, a study of the effects of exposure to a violator class on knowledge and correct CSS use was conducted among violators. Certified CPS technicians conducted the classes and interviews. Subjects were parents cited as the driver with a child of 20 to 40 pounds, between 12 and 47 months of age. One hundred subjects recruited from the class were compared with 50 subjects who did not attend a class. Follow-up home interviews, with inspection of CCS use, were conducted 3 months after payment of the fine and completion of all court requirements. Fisher s exact test was used for 2 x 2 tables, because some of the tables had small cell sizes. The Mann-Whitney rank sum test was used for child restraint use, knowledge, and correct use scales, because some of these variables were not normally distributed. Linear and logistic regression models were used to examine the effects of several variables on these parameters. RESULTS: Factors influencing CSS nonuse were 1) lifestyle factors, 2) transportation and trip circumstances, 3) nonparent or nondriver issues, 4) parenting style, 5) child s behavior, and 6) perceived risks of nonuse. Violator subjects were mostly Hispanic and female, with incomes of less than 30,000 dollars per year. Those exposed to the class (citation and education group) scored 1 point higher on a knowledge test and had 1 more item correct on a CSS use instrument than did the group not exposed to the class (citation only group). In the logistic model, the citation and education group scored higher on the 2 items that were corrected by the instructor during the class. CONCLUSION: Our focus group study of CPS law violators revealed that multiple complex factors influence consistent use of a CSS. The interplay of the particular vehicle, the trip circumstances, and family/parent/child factors affected the use of a CSS at the time of parent citation. Addressing transportation issues and parenting skills in CPS programs is necessary. Among parents who had been ticketed for not restraining their children, exposure to a violator class demonstrated some benefit, compared with a fine alone. Correct CSS use improved most on items corrected by the instructor. Violator classes that include  hands-on  training show promise for improving rates of correct use of CSSs. 	01/07/2004	a	0	0		1	en	114	1	10.1542/PEDS.114.1.109	pediatrics	109-115	2004	[{'Ty': 1, 'U': 'http://europepmc.org/abstract/MED/15231916'}, {'Ty': 1, 'U': 'http://www.ncbi.nlm.nih.gov/pubmed/15231916'}, {'Ty': 1, 'U': 'https://pediatrics.aappublications.org/content/114/1/109?sso=1&sso_redirect_count=1&nfstatus=401&nftoken=00000000-0000-0000-0000-000000000000&nfstatusdescription=ERROR%3a+No+local+token'}, {'U': 'http://pediatrics.aappublications.org/cgi/doi/10.1542/peds.114.1.109'}, {'U': 'https://www.researchgate.net/profile/Diane_Winn/publication/8476666_Violators_of_a_child_passenger_safety_law/links/5440acf30cf21227a11bb498.pdf?disableCoverPage=true'}, {'U': 'https://pediatrics.aappublications.org/content/114/1/109.abstract'}]		Place of residence, Place of residence, [info] California, USA	0	0	0	0	0	0	0	0
1872566199	on farm assessment of legume fallows and other soil fertility management options used by smallholder farmers in southern malawi	37656720 | 2134532793 | 2088643713 | 2122043751 | 2135221901 | 2012987096 | 1973731552 | 2067278472 | 2008556477 | 2124051144 | 2126582006 | 1546989119 | 2094272216 | 2170713020 | 1916502787 | 1997323015 | 2122544506 | 175273189 | 2061447160 | 2141745285 | 2153439540 | 2055443279 | 1914609403	64644743 | 168741863 | 85675897 | 38774213 | 108010975 | 33923547 | 2781208722 | 2780560099 | 126343540 | 6557445 | 54286561	2186815934 | 2251712784 | 2066646520 | 2096293667 | 1753456284 | 2242294118 | 2693128724 | 2580287105 | 2737156740 | 2947973133	5 P.O. Box 30677-00100, Nairobi, Kenya Abstract: This study evaluated the performance of tree legumes and other soil fertility management innovations used by farmers. The objectives of the study were to: examine the extent that farm attributes, typology of farmers and field management practices have affected the adaptation and use of agroforestry technologies for soil fertility management and compare the agronomic performance and farmer assessment of agroforestry and other soil fertility management options, across a wide range of farmer types and field conditions, with a view to establishing the contribution of management variables to variations in yield estimation. Maize yield and farmer rating were assessed in Type II (researcher-designed, farmer-managed), Type III (farmer-designed and managed) trials and extension farmers. Results from 152 farmers show that agroforestry increased the yield of maize by 54-76% compared to unfertilized sole maize used as the control. When amended with fertilizer, the yield increase over the control was 73-76% across tree species. This indicates that farmers who had combined agroforestry with inorganic fertilizer experienced increase in maize yield attributable to the synergy between organic and inorganic fertilizer. In gliricidia-maize intercropping, higher maize yield was obtained by farmers who pruned twice. Combination of two prunings and fertilizer use gave the highest yield increase (148%) over the control and the third pruning was superfluous when fertilizer was applied. Without fertilizer, maize yield in agroforestry plots intercropped with pigeon pea was higher than those plots without pigeon pea. Planting date, fertilizer application, use of agroforestry and maize variety explained about 44% of the variation in maize yield on farmers  fields. 	01/01/2009	a	0	0		1	en	4	6		agricultural journal	260-271	2009	[{'Ty': 3, 'U': 'http://docsdrive.com/pdfs/medwelljournals/aj/2009/260-271.pdf'}, {'Ty': 1, 'U': 'https://www.cabdirect.org/cabdirect/abstract/20103087420'}, {'U': 'https://www.researchgate.net/profile/Oluyede_Ajayi/publication/258989053_On-farm_assessment_of_legume_fallows_and_other_fertility_management_options_used_by_smallholder_farmers_in_southern_Malawi/links/540d66e00cf2f2b29a38447a.pdf'}]		Place of residence, Place of residence, [info] sub-tropical	0	0	Gender/sex, Gender/sex	0	0	0	0	0
2375701644	effect of wheat flour fortified with sodium iron edta on urinary zinc excretion in school aged children	2149867994 | 2169909605 | 2001465005 | 2126937623 | 2279456385 | 1989663119 | 2168313209 | 1839463951 | 2003805829 | 2143267165	535196362 | 3019985465 | 77411442 | 537181965 | 3019721484 | 2776371256 | 198211336 | 31903555 | 10146269 | 185592680	2189295145 | 2118198415 | 2015446414 | 2056479779	BackgroundFoods fortified with sodium iron ethylenediaminetetraacetate (NaFeEDTA) have been shown to improve iron status in children, but little is known about the effect of this salt on urinary zi... 	01/09/2012	a	0	0		1	en	33	3	10.1177/156482651203300301	food and nutrition bulletin	177-179	2012	[{'Ty': 3, 'U': 'https://journals.sagepub.com/doi/pdf/10.1177/156482651203300301'}, {'Ty': 1, 'U': 'https://journals.sagepub.com/doi/abs/10.1177/156482651203300301'}, {'Ty': 1, 'U': 'https://www.ncbi.nlm.nih.gov/pubmed/23156119'}, {'U': 'http://journals.sagepub.com/doi/10.1177/156482651203300301'}]		Place of residence, Place of residence, [info] urban Bangalore India	0	Occupation, Occupation, [info] school children	Gender/sex, Gender/sex, [info] both	0	0	0	0	Plus, Plus, [info] [Personal] iron-depleted children aged 6 to 13 years
2101719450	carbon sequestration in pastures silvo pastoral systems and forests in four regions of the latin american tropics	2418476277 | 2141742848 | 2044415075 | 2324654232 | 2482343636 | 3088378114 | 2105175074 | 1169853887 | 47358009 | 2735127684	153823671 | 50660011 | 159750122 | 2908647359 | 2778053677 | 39432304 | 58941895 | 22884784 | 54286561 | 502990516	2114777475 | 2896960761 | 2638486174 | 2050845066 | 2130089920	SUMMARY Tropical America (TA) holds 8% of the world s population, 11% of the world s continental area, 23% and 22%, respectively, of the world s forest and water resources, and 13% of the world s pasture and agro-pastoral land, this representing 77% of TA s agricultural land. Recent interest in carbon sequestration and preliminary research suggest that well-managed pasture systems in TA could provide a good combination of economic production, poverty reduction, recovery of degraded areas and delivery of environmental services, particularly, carbon sequestration. This paper presents 3-year research results generated by the “Carbon Sequestration Project, The Netherlands Cooperation CO-01002” on soil carbon stocks (SCS) for a range of pasture and silvo-pastoral systems prevalent in agro-ecosystems of TA compared to native forest and degraded land. In the tropical Andean hillsides, Colombia (1350-1900 m.a.s.L, 1800 mm rainfall/yr, 14-18°C mean annual temperature, medium to high slopes, medium fertility soils)... 	18/12/2004	a	0	0		1	en	21	1	10.1300/J091V21N01_02	journal of sustainable forestry	31-49	2004	[{'Ty': 1, 'U': 'https://www.tandfonline.com/doi/abs/10.1300/J091v21n01_02'}, {'U': 'http://library.wur.nl/WebQuery/wurpubs/357819'}]		Place of residence, Place of residence, [info] tropical	0	0	0	0	0	Socioeconomic status, Socioeconomic status	0	0
1967339723	individual and district scale determinants of users satisfaction with primary health care in developing countries	2136231915 | 2052677451 | 2028716731 | 1501680605 | 2140256961 | 2010151069 | 1665464784 | 2011667111 | 1556057683 | 2066711820 | 2023814131 | 2025985582 | 1989119432 | 2086995583 | 1979941085 | 2055538603 | 2074801323 | 2065296889 | 1964954212 | 2023929973 | 2004326357 | 143488465 | 1977412744 | 2110042348 | 119164879 | 2056367148 | 2334624567 | 2412833514 | 2092507337	64764614 | 138816342 | 5395021 | 2908647359 | 71924100 | 162853370 | 195969713 | 160735492 | 50522688 | 83864248 | 2775951005	2164534850 | 2036092755	The paper has two aims: to explore possible determinants of user satisfaction based on a broad conception of the health care system involving both individual and district scale variables, and to add to the limited knowledge and empirical study about such determinants in developing countries.    The study was carried out in one of Brazil s poorest states, Ceara, in the northeast of the country. Brazil has a policy of an increased role for the population in management together with decentralised management to the local administrative (municipio) scale. For user views on health care to be useful in management, understanding their determinants needs to explore not only individual scale factors but also influences from the local health system and wider society, here termed district scale factors. The study design took different angles on users’ satisfaction to build three measures: the particular health event (termed perceived quality); a generalised perception (termed satisfaction); and, satisfaction with the Community Health Worker (termed CHW satisfaction). Potential determinants explored at the individual scale (17 variables) are grouped into: socio-demographic and economic characteristics; health outcome; health care provision; and, awareness of space for local voice in planning. Potential determinants explored at the district scale (50 variables) are grouped into: formal organisation and management (health system inputs, management capacity, outputs and outcomes); informal organisation (population awareness of health system activities, staff characteristics, district management style); and, local political culture (geographic and socio-economic population profile, commitment to the district of local leaders, norms and values of staff regarding practice).    Three determinants were key for all three user evaluation measures: getting an appointment, getting better, and the type of district (rural–urban). Our primary conclusion from this study is that there are limitations to the extent that user satisfaction can fulfill the claims made for it. On a more positive note, with these limitations noted, user satisfaction can prove a useful management tool more modestly at a local, context-specific scale. 	01/02/2005	a	0	0		1	en	60	3	10.1016/J.SOCSCIMED.2004.05.019	social science & medicine	501-513	2005	[{'Ty': 1, 'U': 'http://core.ac.uk/display/261691'}, {'Ty': 1, 'U': 'https://dro.dur.ac.uk/1213/'}, {'Ty': 1, 'U': 'https://econpapers.repec.org/RePEc:eee:socmed:v:60:y:2005:i:3:p:501-513'}, {'Ty': 1, 'U': 'https://europepmc.org/article/MED/15550299'}, {'Ty': 1, 'U': 'https://ideas.repec.org/a/eee/socmed/v60y2005i3p501-513.html'}, {'Ty': 1, 'U': 'https://www.ncbi.nlm.nih.gov/pubmed/15550299'}, {'Ty': 1, 'U': 'https://www.research.manchester.ac.uk/portal/en/publications/individual-and-district-scale-determinants-of-users-satisfaction-with-primary-health-care-in-developing-countries(8a9aae6b-d250-41e9-bdf3-1787d0dc1f1f).html'}, {'Ty': 1, 'U': 'https://www.sciencedirect.com/science/article/abs/pii/S027795360400262X'}, {'U': 'http://dro.dur.ac.uk/1213/'}]		Place of residence, Place of residence, [info] quality â€“ place of residence -	0	0	0	0	0	0	0	0
2085667644	analysis of namcs data for multiple sclerosis 1998 2004	2325038063 | 2139367012 | 2169098250 | 2313649737 | 2165547142 | 2005506388 | 2095666175 | 1973256647 | 1983999022 | 2132228594 | 2340533542 | 2061005334 | 2053457637 | 2089593597 | 1984363373 | 1970963099 | 2028355971 | 2081263427 | 1998534904 | 2157204060 | 2153814248 | 1970587482 | 1978677096 | 2059713075	2993239801 | 167135981 | 3020110884 | 2780640218 | 71924100 | 3019236073 | 2778577042 | 512399662 | 124306116 | 35785553	2644469717 | 2118087422 | 2573569938 | 2276750209 | 2045033641	To our knowledge, no study to date has investigated the prescribing patterns of immunomodulatory agents (IMAs) in an outpatient setting in the United States. To address this issue, we performed retrospective data analyses on National Ambulatory Medical Care Survey (NAMCS) data for MS patient visits between 1998 and 2004. NAMCS data are a weighted estimate of the nationwide frequency of patients  outpatient clinic visits. We analyzed NAMCS data in the following categories: (1) the proportion of MS patient visits to neurologists, family practitioners or internists, (2) age/gender/race/geographical distribution patterns in patient visits, and (3) the proportion of patients on IMA treatment among established MS patients. There were an estimated 6.7 million multiple sclerosis (MS) patient visits to the clinics between 1998–2004. Neurologists recorded the most patient visits, 50.7%. Patient visits were mostly in the fourth and fifth decade age group (57.9%). The male to female ratio was 1:4. No statistical evidence was observed for a decline or increase in IMA usage. About 62% patients visiting neurologists and 92% seen by family practitioners/internists were not using IMAs. Our results suggest that between the years 1998–2003, the use of interferon-1a tended to decline while the use of interferon-1b and glatiramer acetate, increased. Strategies that lead to improved use of IMAs in the management of MS in the outpatient setting are needed. 	05/04/2007	a	0	0		1	en	5	1	10.1186/1741-7015-5-6	bmc medicine	06-Jun	2007	[{'Ty': 3, 'U': 'https://link.springer.com/content/pdf/10.1186%2F1741-7015-5-6.pdf'}, {'Ty': 3, 'U': 'https://www.medpagetoday.com/upload/2007/4/5/MSDrug.pdf'}, {'Ty': 1, 'U': 'https://bmcmedicine.biomedcentral.com/articles/10.1186/1741-7015-5-6'}, {'Ty': 1, 'U': 'https://doi.org/10.1186%2f1741-7015-5-6'}, {'Ty': 1, 'U': 'https://europepmc.org/article/PMC/PMC1855349'}, {'Ty': 1, 'U': 'https://link.springer.com/article/10.1186/1741-7015-5-6'}, {'Ty': 1, 'U': 'https://paperity.org/p/57115854/analysis-of-namcs-data-for-multiple-sclerosis-1998-2004'}, {'Ty': 1, 'U': 'https://www.biomedcentral.com/1741-7015/5/6/prepub'}, {'Ty': 1, 'U': 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1855349/'}]		0	Race/ethnicity/culture/language, Race/ethnicity/culture/language, [info] race (Caucasian other) 	0	Gender/sex, Gender/sex, [info] gender	0	0	0	0	Plus, Plus, [info] [Personal] age 
2921268754	computerized cognitive training for older adults at higher dementia risk due to diabetes findings from a randomized controlled trial	2736307756 | 2136608905 | 2169434152 | 2077109464 | 2780732598 | 2528124781 | 2046898694 | 1912464241 | 2553827870 | 1932861877 | 2172196972 | 2098177322 | 2044832776 | 1939289671 | 2119946747 | 2144138308 | 2044257521 | 2577650921 | 2038860696 | 2154822718 | 2863929450 | 2895364659 | 2755751361 | 1543881151 | 1978879182 | 2035684635 | 1968243914 | 2157534230 | 2619020990 | 2767327711 | 2299970526 | 2033118966 | 2817639164 | 2765642938 | 2126314249 | 2766820905	168563851 | 27415008 | 1862650 | 2780733359 | 71924100 | 2779483572 | 2779602242 | 2781265626 | 169900460 | 56329447	2139235085 | 2139235085 | 2139235085 | 2768642260 | 2126812715 | 2126812715 | 337515304 | 337515304 | 2112764518 | 2783514112 | 2768011210 | 2945119353 | 2108385720 | 2108385720 | 82070176 | 82070176	BACKGROUND: To evaluate the effects of adaptive and tailored computerized cognitive training on cognition and disease self-management in older adults with diabetes. METHODS: This was a single-blind trial. Eighty-four community-dwelling older adults with diabetes were randomized into a tailored and adaptive computerized cognitive training or a generic, non-tailored or adaptive computerized cognitive training condition. Both groups trained for 8 weeks on the commercially available CogniFit program and were supported by a range of behavior change techniques. Participants in each condition were further randomized into a global or cognition-specific self-efficacy intervention, or to a no self-efficacy condition. The primary outcome was global cognition immediately following the intervention. Secondary outcomes included diabetes self-management, meta-memory, mood, and self-efficacy. Assessments were conducted at baseline, immediately after the training, and at a 6-month follow-up. RESULTS: Adherence and retention were lower in the generic computerized cognitive training condition, but the self-efficacy intervention was not associated with adherence. Moderate improvements in performance on a global cognitive composite at the posttreatment assessments were observed in both cognitive training conditions, with further small improvement observed at the 6-month follow-up. Results for diabetes self-management showed a modest improvement on self-rated diabetes care for both intervention conditions following the treatment, which was maintained at the 6-month follow-up. CONCLUSIONS: Our findings suggest that older adults at higher dementia risk due to diabetes can show improvements in both cognition and disease self-management following home-based multidomain computerized cognitive training. These findings also suggest that adaptive difficulty and individual task tailoring may not be critical components of such interventions. TRIAL REGISTRATION: NCT02709629. 	09/03/2020	a	0	0		1	en	75	4	10.1093/GERONA/GLZ073	journals of gerontology series a biological sciences and medical sciences	747-754	2020	[{'Ty': 3, 'U': 'https://openresearch-repository.anu.edu.au/bitstream/1885/216205/4/Bahar-Fuchs_CCT%20in%20T2D-%20an%20RCT_JG-MS_Final_clean.pdf'}, {'Ty': 1, 'U': 'https://academic.oup.com/biomedgerontology/article/75/4/747/5380415'}, {'Ty': 1, 'U': 'https://findanexpert.unimelb.edu.au/scholarlywork/1381025-computerized-cognitive-training-for-older-adults-at-higher-dementia-risk-due-to-diabetes--findings-from-a-randomized-controlled-trial'}, {'Ty': 1, 'U': 'https://openresearch-repository.anu.edu.au/handle/1885/216205'}, {'Ty': 1, 'U': 'https://pubmed.ncbi.nlm.nih.gov/30868154/'}, {'Ty': 1, 'U': 'https://www.ncbi.nlm.nih.gov/pubmed/30868154'}, {'U': 'http://academic.oup.com/biomedgerontology/article-abstract/75/4/747/5380415'}, {'U': 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7931965'}]		0	Race/ethnicity/culture/language, Race/ethnicity/culture/language	Occupation, Occupation	Gender/sex, Gender/sex	0	Education, Education	Socioeconomic status, Socioeconomic status	0	Plus, Plus
2116441987	ngo facilitation of a government community based maternal and neonatal health programme in rural india improvements in equity	2019091990 | 99295644 | 1201749067 | 3122664795 | 2162334426 | 2146241019 | 2016598657 | 2162391545 | 2104650320 | 1990517531 | 1944304198 | 2164928682 | 2133582657 | 1902419318 | 2009288217 | 1913544977 | 2138419200 | 2132441151 | 1965425585 | 1959729691 | 2137328237 | 2134151098 | 2105139272 | 2145959030 | 2141656470 | 2114968371 | 1989499710 | 2035041841 | 2150971341 | 2089070585 | 2160990953 | 2136345516 | 2101264661 | 162150178 | 2153923595 | 2134712081 | 2164509021 | 2096272117 | 1995452360 | 2126279619 | 2613108518 | 2115157507 | 2073340559 | 2149732048 | 2054747565 | 2018682526 | 3000635415 | 650021385 | 2064702463 | 1989748278	27415008 | 5395021 | 2775887326 | 2908647359 | 71924100 | 2780877353 | 160735492 | 5148918 | 99454951 | 50522688 | 83864248	2011909423 | 2020062714 | 2106772217 | 3184434702 | 2143820374 | 2097304104 | 2106205295 | 2773658234 | 2102946299 | 2118894514 | 3187130643 | 2126383504 | 76588080	Socio-economic disparities in health have been well documented around the world. This study examines whether NGO facilitation of the government s community-based health programme improved the equity of maternal and newborn health in rural Uttar Pradesh, India. A quasi-experimental study design included one intervention district and one comparison district of rural Uttar Pradesh. A household survey conducted between January and June 2003 established baseline rates of programme coverage, maternal and newborn care practices, and health care utilization during 2001-02. An endline household survey was conducted after 30 months of programme implementation between January and March 2006 to measure the same indicators during 2004-05. The changes in the indicators from baseline to endline in the intervention and comparison districts were calculated by socio-economic quintiles, and concentration indices were constructed to measure the equity of programme indicators. The equity of programme coverage and antenatal and newborn care practices improved from baseline to endline in the intervention district while showing little change in the comparison district. Equity in health care utilization for mothers and newborns also showed some improvements in the intervention district, but notable socio-economic differentials remained, with the poor demonstrating less ability to access health services. NGO facilitation of government programmes is a feasible strategy to improve equity of maternal and neonatal health programmes. Improvements in equity were most pronounced for household practices, and inequities were still apparent in health care utilization. Furthermore, overall programme coverage remained low, limiting the ability to address equity. Programmes need to identify and address barriers to universal coverage and care utilization, particularly in the poorest segments of the population. 	01/07/2008	a	0	0		1	en	23	4	10.1093/HEAPOL/CZN012	health policy and planning	234-243	2008	[{'Ty': 1, 'U': 'http://heapol.oxfordjournals.org/content/23/4/234.full'}, {'Ty': 1, 'U': 'http://www.commonhealth.in/pdf/34.pdf'}, {'Ty': 1, 'U': 'https://academic.oup.com/heapol/article/23/4/234/566038'}, {'Ty': 1, 'U': 'https://europepmc.org/article/MED/18562458'}, {'Ty': 1, 'U': 'https://jhu.pure.elsevier.com/en/publications/ngo-facilitation-of-a-government-community-based-maternal-and-neo-4'}, {'Ty': 1, 'U': 'https://pubmed.ncbi.nlm.nih.gov/18562458/'}, {'Ty': 1, 'U': 'https://www.ncbi.nlm.nih.gov/pubmed/18562458'}]		0	0	0	0	0	0	Socioeconomic status, Socioeconomic status, [info] empowerment â€“ SES +	0	0
